Autophagy_related_gene_symbol	ID	Correlation_coefficient	Pvalue	ENST_ID	Host_gene of circRNA	CircRNA_chromosomal_position (hg19)	Mean_expression
PEX14	circ_103072	-0.544475968	1.74E-12	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
PINK1	circ_103072	-0.518189853	2.89E-11	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
SESN2	circ_103072	-0.445116447	2.27E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
DIRAS3	circ_103072	-0.307768528	0.000175054	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
BIRC6	circ_103072	-0.303363923	0.000218909	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
CFLAR	circ_103072	-0.404195937	5.06E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG9A	circ_103072	-0.353651848	1.37E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG16L1	circ_103072	-0.359136108	9.85E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
CAPN10	circ_103072	-0.453122468	1.18E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG4B	circ_103072	-0.499500152	1.85E-10	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
MTMR14	circ_103072	-0.463035385	5.11E-09	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG7	circ_103072	-0.491141349	4.10E-10	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
EIF4G1	circ_103072	-0.368654657	5.46E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
BNIP1	circ_103072	-0.320850351	8.82E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
RAB24	circ_103072	-0.387684357	1.58E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
SQSTM1	circ_103072	-0.309467041	0.000160443	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
VEGFA	circ_103072	-0.320248335	9.11E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
WIPI2	circ_103072	-0.472639153	2.21E-09	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
EGFR	circ_103072	-0.304515925	0.000206546	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
HDAC6	circ_103072	-0.471487721	2.45E-09	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
WDR45	circ_103072	-0.431646329	6.60E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
CTSB	circ_103072	-0.380229258	2.59E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
TSC1	circ_103072	-0.437122693	4.30E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
CTSD	circ_103072	-0.415978039	2.16E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
MAPK8IP1	circ_103072	-0.30934524	0.000161452	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
AMBRA1	circ_103072	-0.378794468	2.85E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG13	circ_103072	-0.350207621	1.69E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG2A	circ_103072	-0.48666571	6.22E-10	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
CAPN1	circ_103072	-0.410159182	3.30E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
RELA	circ_103072	-0.328194436	5.92E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
FADD	circ_103072	-0.370127667	4.97E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG16L2	circ_103072	-0.41560369	2.22E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
GABARAPL1	circ_103072	-0.419549981	1.66E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
HSPB8	circ_103072	-0.351964536	1.52E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ULK1	circ_103072	-0.426417997	9.87E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
LAMP1	circ_103072	-0.412331902	2.82E-07	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG14	circ_103072	-0.439926693	3.45E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ZFYVE1	circ_103072	-0.451080661	1.40E-08	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ATG2B	circ_103072	-0.301180822	0.000244244	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
ULK3	circ_103072	-0.322388775	8.12E-05	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
TSC2	circ_103072	-0.371354408	4.60E-06	ENST00000407724.7	TXLNGY	chrY:21749095-21749393	2.64571803
